B. primigenius
Bos (sp.)
S. hemitoechus
C.Ê Pyrenaica/ibex
R. rupicapra
Capridae
C. elaphus
C. capreolus
D. dama
Equus fetus
Equus hydruntinus
Equus (sp).Ê
S. scrofa
C. lupus
L. pardinus
V. vulpes
C. crocuta
P. leo spelaea
P. pardus
F. sylvestris
M. meles
M. lutreola
M. martes
M. putorius
M. erminea
Meles (sp.)
Canis (sp.)
Ursus (sp.)
Crocuta (sp.)
O. cuniculus
L. granatensis
S Carnivore
M Carnivore
L Carnivore
XS mammal (<30 kg)
S mammal (30-60 kg)
M mammal (60-300 kg)
L mammal (>300-700kg)
XL mammal (+700kg)
Indeterminate
